crystal_system,n_samples,n_reduced_formula_groups,mae_mean_rf,mae_std_rf,r2_mean_rf,r2_std_rf,mae_mean_lasso,mae_std_lasso,r2_mean_lasso,r2_std_lasso,mae_improvement_rf_over_lasso,r2_improvement_rf_over_lasso
Triclinic,9095,4749,0.5030389376709353,0.0235353171181587,0.6772271296544821,0.0264630669991318,0.6632660271345422,0.0277555393195441,0.5006295751526965,0.031569216716736,0.16022708946360686,0.1765975545017856
Monoclinic,14447,10061,0.5666263037463635,0.0110992964719873,0.7288088214088475,0.0099720235705513,0.8002004750034807,0.0141820812643903,0.5384838156360259,0.0094206001101839,0.2335741712571172,0.19032500577282163
Cubic,1782,1634,0.5722874065073533,0.0428122015133042,0.6626512659319348,0.0330034511795014,0.769563394965421,0.0322234039312977,0.4866723782293564,0.0666961354320226,0.1972759884580677,0.1759788877025784
Trigonal,2796,2374,0.5834194741618512,0.0144974309118645,0.6918888541071345,0.0193434279469157,0.7397935034583659,0.0109666793337879,0.5612485083801242,0.0288186817323497,0.15637402929651467,0.13064034572701033
Tetragonal,2727,2333,0.5868201976145941,0.0300147911691244,0.6842889327695464,0.0340953929676576,0.8022971432248551,0.0230722473848308,0.4968359404884161,0.0774567919065539,0.21547694561026098,0.18745299228113027
Orthorhombic,8160,6104,0.6058085335011691,0.0357607850999813,0.6832561787218563,0.0123701010551314,0.7758155516266594,0.0069146755365297,0.5387990079928059,0.0428543029007626,0.17000701812549024,0.1444571707290504
Hexagonal,1071,913,0.6674184103997144,0.0468640390415669,0.6272592705890843,0.0787418969029276,0.8082374124445446,0.0602735483925022,0.5144189356373511,0.0892387803746471,0.14081900204483022,0.11284033495173318
