crystal_system,n_samples,n_reduced_formula_groups,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,median_selected_alpha
Triclinic,9095,4749,0.6632660271345422,0.027755539319544133,0.8836027072933439,0.0370359196168685,0.5006295751526965,0.031569216716736063,0.001
Trigonal,2796,2374,0.7397935034583659,0.010966679333787909,0.9544118250018876,0.022201342628576728,0.5612485083801242,0.02881868173234979,0.001
Cubic,1782,1634,0.769563394965421,0.03222340393129775,0.9810720657980987,0.03971465996125101,0.4866723782293564,0.06669613543202263,0.001995262314968879
Orthorhombic,8160,6104,0.7758155516266594,0.006914675536529759,0.9983914231249222,0.009031213394591467,0.5387990079928059,0.04285430290076261,0.001
Monoclinic,14447,10061,0.8002004750034807,0.01418208126439034,1.0157851118538967,0.011368169553169834,0.5384838156360259,0.009420600110183955,0.001
Tetragonal,2727,2333,0.8022971432248551,0.02307224738483087,1.0103317720826257,0.026654446246147365,0.4968359404884161,0.0774567919065539,0.001
Hexagonal,1071,913,0.8082374124445446,0.06027354839250227,1.0601511807008173,0.09728320075206667,0.5144189356373511,0.08923878037464716,0.00794328234724282
