crystal_system,n_samples,n_reduced_formula_groups,mae_mean,mae_std,r2_mean,r2_std
Triclinic,9095,4749,0.5030389376709351,0.023535317118158757,0.6772271296544821,0.026463066999131875
Monoclinic,14447,10061,0.5666263037463635,0.011099296471987312,0.7288088214088475,0.009972023570551311
Cubic,1782,1634,0.5722874065073533,0.042812201513304206,0.6626512659319348,0.03300345117950146
Trigonal,2796,2374,0.5834194741618514,0.014497430911864596,0.6918888541071345,0.01934342794691572
Tetragonal,2727,2333,0.5868201976145941,0.030014791169124456,0.6842889327695464,0.03409539296765763
Orthorhombic,8160,6104,0.6058085335011691,0.035760785099981325,0.6832561787218563,0.01237010105513145
Hexagonal,1071,913,0.6674184103997144,0.046864039041566934,0.6272592705890843,0.07874189690292763
