crystal_system,feature,mean_coefficient,std_coefficient,mean_absolute_coefficient,std_absolute_coefficient,nonzero_folds
Cubic,MagpieData avg_dev AtomicWeight,0.0,0.0,0.0,0.0,0
Cubic,MagpieData avg_dev Column,-0.005222877137799521,0.029287488523140958,0.01606596301252642,0.02385814497376034,2
Cubic,MagpieData avg_dev CovalentRadius,-0.034565091886934206,0.05063548635508183,0.034565091886934206,0.05063548635508183,2
Cubic,MagpieData avg_dev Electronegativity,-0.07292543020008309,0.120670021232382,0.07292543020008309,0.120670021232382,2
Cubic,MagpieData avg_dev GSbandgap,0.031693883717512125,0.04350975224411947,0.031693883717512125,0.04350975224411947,2
Cubic,MagpieData avg_dev GSmagmom,0.0,0.0,0.0,0.0,0
Cubic,MagpieData avg_dev GSvolume_pa,-0.010339142214608733,0.023119024820902844,0.010339142214608733,0.023119024820902844,1
Cubic,MagpieData avg_dev MeltingT,-0.6526031278806762,0.1226198814580977,0.6526031278806762,0.1226198814580977,5
Cubic,MagpieData avg_dev MendeleevNumber,0.08955496766598836,0.09392533157251083,0.08955496766598836,0.09392533157251083,4
Cubic,MagpieData avg_dev NUnfilled,0.035351763775294004,0.06165197641079536,0.035351763775294004,0.06165197641079536,3
Cubic,MagpieData avg_dev NValence,0.07673338044222908,0.08426925838564617,0.07673338044222908,0.08426925838564617,3
Cubic,MagpieData avg_dev NdUnfilled,-0.10624721105832344,0.06858031438642978,0.10624721105832344,0.06858031438642978,4
Cubic,MagpieData avg_dev NdValence,-0.7892891453737023,0.07487438871301305,0.7892891453737023,0.07487438871301305,5
Cubic,MagpieData avg_dev NfUnfilled,-0.17161241466958324,0.08233603548683358,0.17161241466958324,0.08233603548683358,5
Cubic,MagpieData avg_dev NfValence,0.5901444211916772,0.055228015688574765,0.5901444211916772,0.055228015688574765,5
Cubic,MagpieData avg_dev NpUnfilled,0.18873624856906795,0.08262037783040292,0.18873624856906795,0.08262037783040292,5
Cubic,MagpieData avg_dev NpValence,0.1189075117760415,0.11535696391385786,0.1189075117760415,0.11535696391385786,5
Cubic,MagpieData avg_dev NsUnfilled,0.09714106340585674,0.06615790140949518,0.09714106340585674,0.06615790140949518,4
Cubic,MagpieData avg_dev NsValence,0.014917158559549401,0.033355780570295306,0.014917158559549401,0.033355780570295306,1
Cubic,MagpieData avg_dev Number,1.0844395901593704,0.10439018700019552,1.0844395901593704,0.10439018700019552,5
Cubic,MagpieData avg_dev Row,-0.5579634321437854,0.16454311558381665,0.5579634321437854,0.16454311558381665,5
